latitude,longitude,population
17.892083597764984,83.404582279715,12.886945
17.892083597764984,83.405415613045,19.111439
17.892083597764984,83.406248946375,28.447392
17.892083597764984,83.407082279705,30.215487
17.892083597764984,83.407915613035,18.633865
17.892083597764984,83.408748946365,20.522747
17.892083597764984,83.409582279695,22.170246
17.892083597764984,83.410415613025,16.480053
17.892083597764984,83.411248946355,6.793077
17.892083597764984,83.412082279685,1.317274
17.892083597764984,83.417082279665,1.405094
17.892083597764984,83.417915612995,1.229456
17.892083597764984,83.418748946325,7.086898
17.892083597764984,83.419582279655,14.386205
17.892083597764984,83.420415612985,14.14639
17.892083597764984,83.421248946315,7.801875
17.892083597764984,83.422082279645,8.567904
17.892083597764984,83.422915612975,11.435763
17.892083597764984,83.423748946305,11.653264
17.892083597764984,83.424582279635,6.761153
17.892083597764984,83.425415612965,8.996578
17.892083597764984,83.426248946295,19.451162
17.892083597764984,83.427082279625,25.221586
17.892083597764984,83.427915612955,29.00335
17.892083597764984,83.428748946285,32.00177
17.892083597764984,83.429582279615,28.690876
17.892083597764984,83.430415612945,20.089724
17.892083597764984,83.431248946275,20.060444
17.892083597764984,83.432082279605,16.749372
17.892083597764984,83.432915612935,15.104387
17.892083597764984,83.433748946265,14.19554
17.892083597764984,83.434582279595,20.897514
17.892083597764984,83.435415612925,31.680807
17.892083597764984,83.436248946255,36.902912
17.892083597764984,83.437082279585,39.175846
17.892083597764984,83.437915612915,40.50803
17.892083597764984,83.438748946245,43.102158
17.892083597764984,83.439582279575,45.419235
17.892083597764984,83.440415612905,36.78261
17.892083597764984,83.441248946235,20.782694
17.892083597764984,83.442082279565,0.21517
17.891250264434984,83.397915613075,16.490198
17.891250264434984,83.39874894640501,13.974851
17.891250264434984,83.399582279735,25.197273
17.891250264434984,83.40041561306501,25.402824
17.891250264434984,83.401248946395,20.059618
17.891250264434984,83.402082279725,20.857582
17.891250264434984,83.402915613055,17.239975
17.891250264434984,83.403748946385,14.75805
17.891250264434984,83.404582279715,15.425594
17.891250264434984,83.405415613045,19.500576
17.891250264434984,83.406248946375,26.256714
17.891250264434984,83.407082279705,22.786848
17.891250264434984,83.407915613035,14.186493
17.891250264434984,83.408748946365,25.526186
17.891250264434984,83.409582279695,24.169802
17.891250264434984,83.410415613025,16.074213
17.891250264434984,83.411248946355,4.830004
17.891250264434984,83.417915612995,0.790363
17.891250264434984,83.418748946325,6.764555
17.891250264434984,83.419582279655,11.832031
17.891250264434984,83.420415612985,9.888874
17.891250264434984,83.421248946315,0.175635
17.891250264434984,83.422082279645,0.259528
17.891250264434984,83.422915612975,0.330518
17.891250264434984,83.425415612965,0.972134
17.891250264434984,83.426248946295,10.408695
17.891250264434984,83.427082279625,18.638033
17.891250264434984,83.427915612955,24.954073
17.891250264434984,83.428748946285,30.64047
17.891250264434984,83.429582279615,27.064133
17.891250264434984,83.430415612945,16.905283
17.891250264434984,83.431248946275,17.044611
17.891250264434984,83.432082279605,14.560063
17.891250264434984,83.432915612935,9.108158
17.891250264434984,83.434582279595,12.202051
17.891250264434984,83.435415612925,19.412233
17.891250264434984,83.436248946255,22.978874
17.891250264434984,83.437082279585,23.51703
17.891250264434984,83.437915612915,26.659508
17.891250264434984,83.438748946245,28.775862
17.891250264434984,83.439582279575,25.92942
17.891250264434984,83.440415612905,26.04737
17.891250264434984,83.441248946235,15.206286
17.890416931104983,83.395415613085,16.260004
17.890416931104983,83.396248946415,20.708244
17.890416931104983,83.397082279745,21.281452
17.890416931104983,83.397915613075,17.191973
17.890416931104983,83.39874894640501,20.248981
17.890416931104983,83.399582279735,33.843716
17.890416931104983,83.40041561306501,34.297997
17.890416931104983,83.401248946395,16.741858
17.890416931104983,83.402082279725,21.31993
17.890416931104983,83.402915613055,27.578512
17.890416931104983,83.403748946385,27.37685
17.890416931104983,83.404582279715,26.807156
17.890416931104983,83.405415613045,20.811481
17.890416931104983,83.406248946375,14.170571
17.890416931104983,83.407082279705,14.581057
17.890416931104983,83.407915613035,19.12966
17.890416931104983,83.408748946365,25.647533
17.890416931104983,83.409582279695,24.265518
17.890416931104983,83.410415613025,13.939043
17.890416931104983,83.411248946355,5.269396
17.890416931104983,83.418748946325,4.127458
17.890416931104983,83.419582279655,5.911953
17.890416931104983,83.420415612985,5.269094
17.890416931104983,83.421248946315,0.702546
17.890416931104983,83.422082279645,3.600549
17.890416931104983,83.422915612975,2.985821
17.890416931104983,83.423748946305,0.087818
17.890416931104983,83.425415612965,0.119947
17.890416931104983,83.426248946295,0.240859
17.890416931104983,83.427082279625,8.984421
17.890416931104983,83.427915612955,16.121853
17.890416931104983,83.428748946285,19.700926
17.890416931104983,83.429582279615,17.7185
17.890416931104983,83.430415612945,11.149577
17.890416931104983,83.431248946275,11.511146
17.890416931104983,83.432082279605,7.76067
17.890416931104983,83.432915612935,3.951821
17.890416931104983,83.435415612925,0.189453
17.890416931104983,83.436248946255,1.932002
17.890416931104983,83.437082279585,8.521743
17.890416931104983,83.437915612915,16.193806
17.890416931104983,83.438748946245,15.708312
17.890416931104983,83.439582279575,10.43548
17.890416931104983,83.440415612905,9.12252
17.890416931104983,83.441248946235,4.478732
17.889583597774983,83.392915613095,40.981747
17.889583597774983,83.393748946425,41.742588
17.889583597774983,83.394582279755,30.633556
17.889583597774983,83.395415613085,25.844456
17.889583597774983,83.396248946415,27.319118
17.889583597774983,83.397082279745,27.236916
17.889583597774983,83.397915613075,18.470963
17.889583597774983,83.39874894640501,19.274475
17.889583597774983,83.399582279735,29.224752
17.889583597774983,83.40041561306501,28.16498
17.889583597774983,83.401248946395,6.937644
17.889583597774983,83.402082279725,22.48083
17.889583597774983,83.402915613055,29.135323
17.889583597774983,83.403748946385,29.750765
17.889583597774983,83.404582279715,27.84197
17.889583597774983,83.405415613045,19.45071
17.889583597774983,83.406248946375,5.444732
17.889583597774983,83.407082279705,13.439222
17.889583597774983,83.407915613035,22.93505
17.889583597774983,83.408748946365,24.68844
17.889583597774983,83.409582279695,21.861685
17.889583597774983,83.410415613025,13.498248
17.889583597774983,83.411248946355,1.756636
17.889583597774983,83.412915613015,8.389134
17.889583597774983,83.413748946345,14.880202
17.889583597774983,83.421248946315,1.580729
